"","x"
"1",7.35101276368593
"2",7.97796688113401
"3",6.86054349650883
"4",8.96503782099333
"5",5.62507829030304
"6",8.7482827544181
"7",6.56408453251513
"8",9.73636575912742
"9",5.83513642042228
"10",8.58916173734048
"11",6.46358086809918
"12",9.16158375768308
"13",9.96579090789716
"14",7.30093708555752
"15",5.83692302976323
"16",8.29419499836059
"17",10.7131715790176
"18",6.62935233503351
"19",4.74163767308301
"20",8.24171760382462
"21",9.49035314185329
"22",8.04563445089018
"23",7.49586547105341
"24",9.63035771169719
"25",6.07596287417091
"26",6.44179692839864
"27",9.71983498296567
"28",6.5088347514834
"29",10.3422303652387
"30",9.08451457894643
"31",6.198896096442
"32",8.92794193646767
"33",8.92060903034663
"34",9.4283941786568
"35",11.0946591012438
"36",6.26969649260373
"37",8.76129299068166
"38",7.28612852002697
"39",7.85677016684573
"40",8.44833113971358
"41",6.98246929474239
"42",9.57286641473102
"43",5.29470207155017
"44",8.02437818538529
"45",6.42869953060721
"46",7.15261294989434
"47",4.53483809420369
"48",6.70796018859104
"49",6.83385942753666
"50",6.97590777251252
"51",9.33001087213215
"52",7.6650997578863
"53",9.05877727952534
"54",8.4366821198784
"55",7.59630545846512
"56",6.44945809860796
"57",6.42950863727372
"58",7.87857732686509
"59",7.9305433750838
"60",9.03740386835559
"61",6.03718204346918
"62",7.75025269742649
"63",5.54916508138878
"64",10.7635637986646
"65",7.09677386908032
"66",6.01735687657017
"67",9.07622087771772
"68",6.48409986992603
"69",9.13608127584972
"70",9.74043072227248
"71",6.64044658955767
"72",5.27977394073448
"73",6.15230310127832
"74",9.37736060381424
"75",6.59708197963621
"76",7.86565605890957
"77",5.12525709135468
"78",8.65851381877674
"79",8.4638300576306
"80",6.70854930144216
"81",7.93699862437343
"82",10.6771127171874
"83",8.01952594937794
"84",8.52469227298203
"85",7.83271874549262
"86",8.0542458444147
"87",6.33618115994662
"88",6.36593037747902
"89",8.46539687681812
"90",6.74577517253211
"91",8.27248553454896
"92",8.5833614232835
"93",6.79108350156546
"94",6.06749661845906
"95",6.37102216237234
"96",8.73235932401122
"97",8.6960460455674
"98",5.93192245597449
"99",11.8506564081885
"100",6.02397916189323
"101",7.38443957594527
"102",8.7253737756074
"103",6.90693904400678
"104",8.34221339303014
"105",9.26195389429009
"106",3.29193003556641
"107",8.31015816798881
"108",8.12593015791394
"109",6.39189321483455
"110",8.47771119824339
"111",7.58678196234206
"112",8.78264011540743
"113",7.32416396435358
"114",5.35725482134084
"115",8.04047617046505
"116",7.25657068115672
