"","x"
"640",14
"641",10
"642",10
"643",12
"644",10
"645",14
"646",12
"647",14
"648",12
"649",8
"650",8
"651",6
"652",10
"653",12
"654",10
"655",14
"656",10
"657",8
"658",10
"659",10
"660",10
"661",10
"662",8
"663",10
"664",12
"665",8
"666",12
"667",6
"668",6
"669",10
"670",6
"671",10
"672",6
"673",6
"674",8
"675",12
"676",10
"677",12
"678",12
"679",10
"680",8
"681",10
"682",12
"683",12
"684",8
"685",10
"686",6
"687",10
"688",8
"689",6
"690",8
"691",14
"692",12
"693",10
"694",14
"695",10
"696",4
"697",10
"698",10
"699",10
"700",6
"701",12
"702",12
"703",8
"704",12
"705",10
"706",10
"707",14
"708",6
"709",12
"710",12
"711",8
"712",14
"713",10
"714",6
"715",8
"716",10
"717",12
"718",8
"719",10
"720",8
"721",14
"722",8
"723",4
"724",14
"725",14
"726",10
"727",10
"728",8
"729",10
"730",8
"731",4
"732",14
"733",10
"734",10
"735",12
"736",12
"737",2
"738",10
"739",10
"740",8
"741",12
"742",12
"743",10
"744",12
"745",14
"746",10
"747",12
"748",10
"749",4
"750",6
"751",10
"752",8
"753",8
"754",12
"755",8
"756",10
"757",14
"758",8
"759",12
"760",12
"761",12
"762",10
"763",8
"764",14
"765",10
"766",6
"767",12
"768",6
"769",8
"770",8
"771",12
"772",10
"773",10
"774",14
"775",14
"776",8
"777",12
"778",12
"779",10
"780",10
"781",10
"782",8
"783",8
"784",12
"785",10
"786",10
"787",10
"788",12
"789",12
"790",2
"791",2
"792",8
"793",10
"794",14
"795",12
"796",8
"797",10
"798",8
"799",8
"800",10
"801",12
"802",12
"803",14
"804",12
"805",10
"806",10
"807",14
"808",12
"809",10
"810",12
"811",12
"812",10
"813",8
"814",10
"815",14
"816",10
"817",8
"818",10
"819",2
"820",10
"821",10
"822",12
"823",12
"824",8
"825",8
"826",12
"827",8
"828",10
"829",8
"830",6
"831",12
"832",12
"833",10
"834",12
"835",8
"836",4
"837",10
"838",14
"839",8
"840",12
"841",10
"842",6
"843",12
"844",12
"845",12
"846",14
"847",8
"848",14
"849",8
"850",10
"851",10
"852",8
"853",10
"854",8
"855",12
"856",10
"857",14
"858",10
"859",6
"860",10
"861",8
"862",10
"863",6
"864",12
"865",12
"866",10
"867",10
"868",10
"869",10
"870",14
"871",6
"872",10
"873",12
"874",6
"875",8
"876",12
"877",8
"878",6
"879",2
"880",4
"881",10
"882",4
"883",8
"884",10
