"","x"
"145",20748.5240483972
"146",26807.6649753053
"147",43261.2037050717
"148",14614.5166970211
"149",26691.175464258
"150",24402.6095010229
"151",13344.6606437623
"152",16839.3110783386
"153",45223.7341859179
"154",18004.2113174119
"155",38216.1511015283
"156",29688.581284659
"157",16911.1234428454
"158",18033.7246562843
"159",35527.2369576619
"160",21909.4327253513
"161",16968.0100841353
"162",18566.7944707736
"163",20107.6819376223
"164",15794.2551314915
"165",48918.422746276
"166",22396.7090905361
"167",23402.2255904912
"168",18479.6378689656
"169",38304.1997303618
"170",21381.6728309036
"171",15836.2615272051
"172",16083.147916192
"173",11828.8583713434
"174",20533.8712475103
"175",18942.6643975682
"176",20517.8947146825
"177",15115.1870724615
"178",21375.3782290402
"179",29606.5075145338
"180",15774.1888272092
"181",21750.4930635947
"182",17053.4283175083
"183",22996.1167345311
"184",16427.3990444493
"185",26098.4967770483
"186",14739.6982959298
"187",18882.8944487798
"188",18172.0560222265
"189",15234.7103963291
"190",21011.4782378342
"191",25674.4549036282
"192",27681.6478794579
"193",21743.4170898945
"194",9458.84988010474
"195",13610.6447209189
"196",25952.0332099658
"197",15304.5339663853
"198",16421.2503569934
"199",14711.8339327785
"200",16910.7035824925
"201",14342.2272919772
"202",17165.043296043
"203",12690.3539846354
"204",14390.2684553251
"205",14602.410665209
"206",13204.7000333681
"207",19970.3091928316
"208",18746.0533818401
"209",15792.5425648491
"210",20953.1921173575
"211",20291.7724423699
"212",22830.5440537067
"213",15708.3015072423
"214",19009.280613419
"215",31371.2922194039
"216",15200.3628689885
"217",19930.8705005514
"218",33718.4298660372
"219",32266.9698385828
"220",21431.5324689673
"221",23668.6767879324
"222",21828.1845300472
"223",18726.7016483138
"224",14355.4845304959
"225",16969.1230613792
"226",27858.9067530491
"227",15501.4469616104
"228",27108.8343108863
"229",10805.8980161837
"230",32952.5642099889
"231",31376.4227796141
"232",21842.9531512772
"233",15159.7331901454
"234",18818.9520075663
"235",15169.1644960604
"236",16275.2657549013
"237",14704.1819325396
"238",22048.436786869
"239",42500.6830225132
"240",21210.6807854638
"241",27314.5959848372
"242",17144.6084392466
"243",24139.7170146695
"244",30400.3156560858
"245",10784.4689243512
"246",40339.2319938302
"247",13649.6147570725
"248",23690.9138908277
"249",32683.6456813116
"250",17128.022249909
"251",12591.2010438675
"252",22068.2265268847
"253",45974.7910466473
"254",48164.7788174864
"255",29120.4074847582
"256",29761.6063528534
"257",25826.6205824455
"258",29799.400337456
"259",20181.2332184919
"260",18499.7345251708
"261",18333.0957450654
"262",20812.2898922137
"263",32035.2130299279
"264",15378.9233922619
"265",12100.3591646279
"266",20638.7254095983
"267",19914.6342715353
"268",51841.2307652826
"269",16281.0873419989
"270",24542.0023283807
"271",17882.4463236814
"272",27493.4115067135
"273",34230.8790667304
"274",15430.8432083406
