"","x"
"1",2.72747318543692
"2",3.58982442858831
"3",1.97583805186959
"4",3.38659380470564
"5",3.04995131697265
"6",3.72369888401911
"7",2.8370265769988
"8",2.78512389368013
"9",1.94957600242392
"10",3.32593873263387
"11",2.3617054609437
"12",2.82557977265466
"13",2.3602448788448
"14",2.17389872843978
"15",2.62608943162288
"16",3.25838088239059
"17",3.23098675055819
"18",2.45663369717698
"19",1.94377585335356
"20",3.43435465092664
"21",3.54392831752988
"22",3.56314382622784
"23",3.31224431341532
"24",3.11281818707603
"25",2.76612846863992
"26",2.19253582494373
"27",3.39190343213981
"28",1.97332083145168
"29",2.77833338922799
"30",3.99286234249246
"31",3.00947819209967
"32",3.77211721951041
"33",2.8576734119021
"34",3.08942192426432
"35",2.38518804129959
"36",2.41147298020853
"37",3.46618781870722
"38",3.04408804063523
"39",3.79022523979036
"40",2.50784164473438
"41",1.91593931560607
"42",3.56514935456565
"43",2.68376989830346
"44",4.06404396166054
"45",2.47923004421604
"46",3.98511956509965
"47",1.72996015937101
"48",1.89968448499493
"49",3.66700812242393
"50",2.097602335648
"51",3.21940414248742
"52",2.57960714482465
"53",4.88792535623996
"54",3.7005700672037
"55",2.83331185110657
"56",2.55953064723146
"57",1.64673858999619
"58",3.27618446962461
"59",3.21498284556139
"60",2.58895562309973
"61",2.2959746422973
"62",2.94155601407962
"63",1.83563958571969
"64",2.71935446915808
"65",2.88955157808311
"66",1.56893368298056
"67",3.20710400688591
"68",2.22377392742821
"69",2.73412984493928
"70",4.51302952126522
"71",2.91481513516154
"72",3.99647134921349
"73",3.052728441484
"74",2.42656693069312
"75",2.41484249268073
"76",3.16124029017459
"77",2.25769746851102
"78",2.9894101718244
"79",3.20520784776808
"80",2.52768362146476
"81",2.60571626707978
"82",3.09038844994366
"83",2.95497942978309
"84",2.10114821441241
"85",2.18492068579742
"86",3.56289911210733
"87",2.31154779576177
"88",3.06138058224401
"89",3.64267128140356
"90",3.08780211571462
"91",2.95740641595391
"92",3.13188414867447
"93",2.27537568371141
"94",2.27145287004175
"95",3.39136726431767
"96",3.33739536012611
"97",3.1473776277758
"98",2.41106280331535
"99",2.14746541480701
"100",1.82481778605683
